id_review,text
ChdDSUhNMG9nS0VJQ0FnSUN4N0xLYzJBRRAB,"Awesome place for dinner, the steak and sides were amazing. Been to the one in Auckland and the Melbourne one definitely didn't disappoint, I'll be back again very soon 😍"
ChZDSUhNMG9nS0VJQ0FnSUN4a1BLaGNnEAE,"Extremely disappointed. The door handles were cute and put a smile on our faces, but it all went down hill from there.  Asian lady gave us a cold reception and looked down at us when we arrived.  Waited for her to *check*  if there was a table available.  When she returned, she took us upstairs and it took a while before we got any service. The maitre d' was nervous and fumbled his words and lacked confidence. We were *entertained* by staff who would be discussing things that perhaps should not be audible to customers.  Not to mention staff who were talking across the room! Appalling! And the constant walking aimlessly of staff.  Back and forth.  What is that all about?  And they multiply!  We were served by so many different people it was a joke. Perhaps it’s no wonder staff walk around like headless chooks.  No-one knows what’s going on!  The food, not worth the hefty price tag!  Way over priced.  Would certainly have expected more for our money. Mixologist needs to learn basic bar skills. Add the ice first, not after to avoid getting a dirty glass from the splashing, especially when it’s a drink like Baileys.  Not coming back.  Better places to go to get fine dining."
ChdDSUhNMG9nS0VJQ0FnSUN4NFA2d2hnRRAB,I ordered the wagyu tomahawk. It was cooked to perfection. The service was also pretty good. Overall I would come back.
ChZDSUhNMG9nS0VJQ0FnSURSNzdLNFRnEAE,"Dined in with my Family to celebrate our birthdays. Service was great, staff were lovely and gave honest recommendations about the menu and the specials, however ordering proved difficult. We had a new staff member who was doing her best however we all order a different 'type' of meat with different cooked preferences. (Some rare, medium-rare, well-done etc) When we recieved our meals the preference of cooked was all jumbled up, So the 300g  Sorloin that was suppose to be rare came well-done, the sauces ordered with the meat were missing or also jumbled up. I hope this was a one time mix up but for the price you're paying for a few grams of meat at a Butchery, I was hoping for the best meal possible."
ChdDSUhNMG9nS0VJQ0FnSURScl9lMjFBRRAB,"Went here with high hopes, the concierge was great but after that the service was mediocre at best. Our waitress was terrible, which was highly disappointing when we we’re spending close to $500 for two people. Our entree’s were ok, and steaks weren’t cooked to perfection as expected from the price tag. We were offered dessert, but on the condition that we had it ordered and eaten in 10 minutes as they wanted they table back, which we were not told at the beginning. Every table around us who had been seated before us, were still sitting and eating there food. Then I paid the bill in cash and she had the audacity to ask me if I wanted my change.  Overall, poor service & average food for the price tag, we won’t be coming back in a hurry."
ChZDSUhNMG9nS0VJQ0FnSURSdWV6VmZ3EAE,"We booked for 12pm lunch, in which we arrived to be the only ones in the section of the restaurant. The music was really loud vocals, in which my friend and I had to raise voices to hear each other. We asked if the music could be turned down. They reduced is down only slightly. We asked again saying we were finding it hard to chat or consider the menu. The manager who didn’t even bother to come down from the upper floor to check, said rudely that she wouldn’t because it’s not just for us but for others too - which at that point was no one. When we got up to leave saying that obviously we were not willing to stay because of her rudeness towards the handling of the situation, she tried to back track. Other staff tried to de-escalate, while the manager tried defending herself. We then went to Cumulus Inc where the ambient music and service was excellent. The prices on the Botswana Butchery wine list were easily 3-4 times what you can buy at wine stores as well. Will definitely not be recommending."
ChZDSUhNMG9nS0VJQ0FnSURSalpENURnEAE,"Was excited to come here, but it was a massive let down. Food was ok, wasn't great, but it wasn't terrible. Prices didn't match. Huuuge let down with cocktails, they were mediocre and tired, and very under whelming. They also need to get some cocktail glasses, as we were served different cocktails all in wine glasses, not acceptable for a place that charges so much, only our espresso martini was in a coupe glass. Service wasn't bad, but not good either, something i expect from a Cafe not a place where I just spent $100 on steak. Finished our courses and sat there for a good 15mins before our plates were cleared. About 6 empty glasses on our table and wasn't cleared, except when a girl came over to pick up the espresso martini glass, but didn't pick up anything else Overall, very overpriced and underwhelming."
ChZDSUhNMG9nS0VJQ0FnSURScWFiVldREAE,"Very nice steak house and one that lives up to the hype. We came here for one thing and one thing only, and that is the steak. I found it really good to see that the selection is from all around Australia and the cuts were of a very good quality. Kudos to the chef for cooking medium rare perfectly. The service was all round very good and venue had a nice feel to it."
ChdDSUhNMG9nS0VJQ0FnSURSd2Z1QmhnRRAB,Great food
ChdDSUhNMG9nS0VJQ0FnSURSenZ1QnZBRRAB,"Everything was amazing, especially the food. Had the 1.6kgs lamb shoulder for 2. Only negative was, it took 23 mins for a waiter to come and ask us for our drink order from when we first sat down. And when we said no to the dessert, they just brought us the bill even though we were still having our drinks. Other than those 2 negatives, everything else was perfect."
ChdDSUhNMG9nS0VJQ0FnSURSOXNLbXBnRRAB,"We had the lobster and bottomless fries offer...only there was no bottomless fries. Don't get me wrong,  the portions were decent,  but there was no talk of more fries when the plates were clean. In fact, service was not great. We were seated immediately,  and received our drinks and food in good time, but then completely ignored. Our bottle of wine was placed on a bench opposite our table,  despite plenty of room on our table,  and yet no one returned to fill our drinks. The mark up on their wines is also triple"
ChdDSUhNMG9nS0VJQ0FnSURSNXVqVTB3RRAB,Excellent food and very nice atmosphere
ChZDSUhNMG9nS0VJQ0FnSURoMU1DVUtnEAE,"Just a ridiculous amount of fake reviews by the owner.  Hmm..150+ 5 star reviews in the last few weeks, all of them being the first review written by the person, or the reviewer has given every restaurant in the group 5 stars.  It's so fake they even mistakenly posted a 5 star review for one of the other restaurants in the company's group (Wong Baby) on the Botswana Butchery listing. Just so lame.  BTW, I've ACTUALLY been here, and it's way over-priced and is devoid of any cool vibe or atmosphere.  Oh, and read the small print on the menu.  ""Service charge of 10% on groups of 8 or more. 15% surcharge on Public Holidays. 10% surcharge on Sundays."""
ChdDSUhNMG9nS0VJQ0FnSURSMk5ma193RRAB,"Brilliant waitier and bar staff, Kiah, Kai and Ellie we especially attentive and fed me cake, cannot complain really. 5star!"
ChdDSUhNMG9nS0VJQ0FnSURSaVBEcDRRRRAB,Deal advertised on the website was not honoured when we got there. Very disappointed and ended up paying much more for our lunch than we expected.
ChdDSUhNMG9nS0VJQ0FnSURSc1BlYjFnRRAB,"With so many great places to choose from in Melbourne, why come here? The service is indifferent, the food is just ok. If you’re going to spend $300+ on a meal, do yourself a favour and go to Hazel, Gimlet, Meatmaiden, Bar Margaux, Phillipe, Grill Americano, Pearl Diver, Fable…."
ChdDSUhNMG9nS0VJQ0FnSURSNEtxNDJ3RRAB,"Tried their lobster and bottomless fries special and it was well-cooked and good value. 5-star for the food, but dropped 1 star because the matcha cocktail tasted like just milk and sugar… missing green tea flavour and alcohol! The service was also very average. It seems like they are understaffed and because we sat out at the front instead of the main restaurant space, we were mostly forgotten."
ChdDSUhNMG9nS0VJQ0FnSURSNEtLTzJBRRAB,"First time at Botswana Butchery. Lovely place, although it’s interior design feels a tad dated. Good service, and lovely food. I wasn’t blown away by the steak I ordered, nonetheless it was very tasty and all the sides were excellent."
ChZDSUhNMG9nS0VJQ0FnSURSb09QZ1V3EAE,Rose chaja is surprisingly good :) My steak is on the rare side though even when I ordered medium.
ChdDSUhNMG9nS0VJQ0FnSURSd05mM2dRRRAB,"We came here off the back of the half lobster and bottomless fries special as per the article on Concrete Playground. We made a lunch booking only to find out that apparently you have to request the lobster specials at the time of the booking. No where in the article or their website is this stated. I could see a few tables around us were here for the lobster too, unfortunately they looked just as disappointed as we were.  So we ordered off the à la carte lunch menu. The food was decent but at those prices you would expect something that exceeds expectations. Unfortunately this did not. We ended up getting the burger, snapper, veal cutlet, and some sides, which were fine but nothing to expound about. The potato salad came in a tiny bowl, unmixed. So you have to mix it yourself all the while trying not to spill it. The waitress dumped the mac and cheese on the table, very close to my sister's arm whilst she was trying to cut her burger, nearly burning her arm with the hot cast iron bowl it came in. At one point the music was blasted up so loud it was all you could hear, before it was turned back down.  Furthermore, the dishes took quite some time to come out that we, and especially the kids, grew restless. Between the noisy clanging of bar staff dropping stuff and the kitchen staff dropping stuff, by the end we just wanted to leave.  At these prices, I would not recommend. The service and the food should at least be above average to warrant such prices but it was just a very average, and disappointing, experience."
ChdDSUhNMG9nS0VJQ0FnSUNSbl96RGlRRRAB,"Deals advertised were not honoured at the restaurant, staff were rude and inattentive."
ChZDSUhNMG9nS0VJQ0FnSUNSbjd5TEV3EAE,"Specials / deals on Instagram and their website are not honoured, even when you book online"
ChdDSUhNMG9nS0VJQ0FnSUNScDd5c3d3RRAB,"I came here after hearing about it from a few of my friends.  In general, the food was great. My steak; however, was a little dry when it came out, not reflected by others at the table.  The service did feel a little rushed to me. Mains came out about 5 minutes after starters. Desert, much the same.  The food and wine selection is enormous. French onion soup was pretty good. The onion rings were average. Salad and greens were fantastic.  In all. I would recommend it."
ChdDSUhNMG9nS0VJQ0FnSUNSMi16MnpBRRAB,"So happy to celebrate the 2023 F1 Grand Prix here. We visited when Botswana was offering a Pit Stop Lunch with St hugo wines. Pit Stop lunch was $95pp and included choice of entrée and main, finished off with a petit four and  Chardonnay and Cabernet Sauvignon pairing. We had the Kingfish and permisson for entree, salmon and steak for mains and passionfruit dessert. Was such an amazing experience.  Service was very good and staff were very friendly."
ChZDSUhNMG9nS0VJQ0FnSUNSbV9uVkFREAE,My partner and two of his coworkers got extreme food poisoning after eating lobster here. I am physically scarred from witnessing the extent of this food poisoning. STRONGLY do not recommend this place
ChdDSUhNMG9nS0VJQ0FnSUNSNi1XZjJRRRAB,"Attended with a party of four; three of us suffered food poisoning from the Lobster.  We could see the Lobster pre-cooked and sitting under a heat lamp in the kitchen.  The service was very poor, and the follow up customer service once we reported the incident was also very poor."
ChZDSUhNMG9nS0VJQ0FnSURZMjd1ZENBEAE,"2023: Very disappointed with Pope Joan recently.  So expensive, such small portion and it’s not even tasty.  I had this The Cornish: Milawa roast chicken, stuffing, mayo, jalapeños, tarragon, lettuce and the chicken looks and tastes like some stodgey paste.  For $23 I expected so much better.  I felt so disappointed that I bought friends here, recommending them because I thought it would be nice to dine in.  I might as well go to the food court.  No matter what grade chicken they use, it was still a disappointing lunch.  2020 3.5 stars ⭐️ Ever since Pope Joan has closed down in Brunswick I often lament that I have never tried them.  So when they put a signage up near Sofitel I had to knock on their door and asked “ Is this THE pope Joan?!” Turns out it was!  Took my girlfriend to lunch there the other day and we had a whipped cheese w kohlrabi and a mixed platter of salad.  I was a bit unsure about the whipped cheese dish.  It had a weird taste to it which I wasn’t sure whether it’s the parsley oil with the dehydrated parsley on top, or whether there was something else which tasted a bit licorice / cuminey which I wasn’t a big fan of.  The mixed salad was fabulous.  We had a miso pumpkin w seaweed (note to self replicate that!), a cauliflower salad, a modern take to Caesar which is one large cos leaf w one fish sitting on a bed of creamed egg.  Everything tasted nice but not sure whether it’s worth $24 for this.  Maybe it’s the location, maybe it’s the name, maybe it’s both but I just found the price is a bit steep for the portion you got, but the quality is fantastic."
ChZDSUhNMG9nS0VJQ0FnSUNSLWV2alBnEAE,Great location and relaxing outdoor terrace dining at the top of Collins St. Reuben sandwich must be one of the best in Melbourne Quality ingredients and condiments which go very well with fries. Service is attentive. The breakfast menu is worth a try as well.
