,Review
0,"My friend and I experienced the Journey Through Asia Summer edition course. The chefs take on each cuisine, turning well known dishes from each South East Asian country and putting a spin to it was very captivating.The standout was the prawn toast, the Burmese goat nhat however was a bit too spicy for our liking.The menu was welly adapting to my friends dietary requirements, brownie points for that! Service was great, great interior decor, it did get a bit loud inside, overall we had a good experience."
1,This is a delightful restaurant with great food and first class service.   What impressed me most was the friendly and helpful staff.   The menu is restricted but has some gems.   Everything was delicious and the chef considerately put the extra spice on the side - that served the different tastes of my wife and I.   There’s also a good wine list.
2,"It's beyond my expectation. Service is good - we said 'choose mi' and friendly staff patiently explained in details, picked fantastic dishes for us and surprised all of us.Everything we had is delicious. The sweetness, spicy and so much on not overwhelming the food itself but giving each dish the depth of taste. Zucchini flowers is one of the best I've tried so far in all restaurants.Hainaness Chicken is so tender and the curry has so much flavours in it.I just love everything served that night!Cocktails are also the top quality. You can also ask for your favourite if it's not on the menu. They just deliver it!I forgot to ask how often they change their menu but I will definitely go back again and again even for the same dishes."
3,"Food was ok but nothing special.Kudos to staff trying very hard to accommodate special vegetarian requirements.Salmon in curry didn't work.Pork belly was very crispy highly recommended. However some vegetables were badly burnt to a point they tasted bitter.Crab omelette egg was dried and overcooked.Zucchini flower batter was tough and cold, feels like it has been refried.Roti was very nice.Very slow in dishes delivery and if you can't remember all the orders please put them down on a docket somewhere.Overall the whole dining experience was a mixture of hit and misses... but certainly we won't be missing this place."
4,"I caught up with an ex colleague and decided to try the food here.Food [4] fusion but tasted great.Service [4] staff is friendly and patience as we love chilli and had asked for different type of chilli which we were served.Ambient [3] kind of warm indoor, perhaps the staff are in their casual so won't feel it."
5,"Fried Chicken Ribs In Nuoc Mam - Crispy, sauce was well balanced with both sweet and sour.Plantain And Banana - crispy plantain fritters but the star was the banana dip.Chilli Crab & Prawn Dumpling, Sea Vegetables & Salmon Roe - the sauce was amazing. Literally cleaned the plateWild Kingfish Kinilaw, Citruses, And Sorrel - The only dish that disappointed us that night. The fish wasn’t fresh. They insisted it was the flavour of the fish cured in coconut. Tried to tell me this is how ceviche taste like. 🤣 I’ve ate too many ceviche to know what is fresh and what is not. Had to ask them to take an untouched portion of the fish back to the chef to taste it. Honestly if it wasn’t because of this I’d give a 5 star.Wild Mushrooms and Satay - was alright.Roasted Bone Marrow, Marinated Rump, XO Prawn - packed with flavour. And that crispy roti just completes it.Borneo Boar Sausage And Fermented Chili - delicious sausage. Boar meat gives it a more chew than using just pork meat.Hainan Chicken Breast Curry Pickled Mushroom - silky smooth hainanese chicken with this amazing curry sauce. Such an brilliant combo.Crispy Pork Belly, Rica Rica Sauce, Green Apple & Radish - crispy crackling but we thought this dish was alright, done well but nothing amazingTimorese Barramundi Ikan Pepes With Quince And Ai Manas - well cooked fish with a very flavourful sauce.Seasonal Wok Fried Vegetables In Fragrant Paste - $15 for a few strands of vegetables. Could’ve provided a bigger portion to charge $15.Jungle Tubers with Glazed Pumpkin Seed & Marigold - $15 for root vegetablesBiodynamic Aromatic RiceRotiLeche Flan - silky smooth but on the sweeter sideBuko Pandan - love the textures going on in this dessert. Flavour was great as well.Definitely one of the better Asian fusion I’ve had in Melbourne CBD in terms of flavour. Lack of consistency, ordered fried chicken ribs twice, the second was soggy not fried well."
6,"☆ Breakfast at Miss Mi was included in our stay at the Mövenpick Hotel Melbourne.☆ Staff were always friendly, welcoming and accomodating throughout the breakfast service.☆ The space was large and open, with plenty of natural light coming through.☆ Fruit and pastry baskets were fresh and the perfect way to start our meal. Juices and coffees were also delicious.☆ Throughout our stay, we tried the 'Omelette', 'Miss Mi Benedict' and 'Miss Mi Granola'. All the dishes were delicious, fresh and had generous portions. They kept us full for the whole day!☆ Also loved the water jugs shaped as fish. They brightened up my morning!"
7,"We were welcomed on arrival and accommodated at the bar while our friends arrived and table still being prepared. The restaurant was full and staff at the bar under pressure however accommodating for my alterations to ‘no booze for Mi’ drink.Once seated we were pretty much left alone. We needed to ask for the menus drink then food. Our waitress was helpful with recommendations while choosing our dishes (a few drinks and food item not available). Food was delicious and portion sizes ok. 4 adults and we shared 4 street snacks/raw, 2 from the grill, 3 sides.My advantage plus membership discount it was ok value for money.Dietary restrictions: Multiple Gluten and dairy free options in each course"
8,"I decided to come here on my birthday with my family on a Wednesday night for dinner and came back Saturday afternoon for just a drink. First of all, the menu is very unique and the ingredients and flavours from each cuisine is impeccable 👌🏽 We ordered, the Timorese Barramundi which was so flavourful with a slight hint of chilli. The Burmese Goat was also amazing and soft with a great sauce. I was surprised by the spicy sauce of the Boar Sausage. The nuts were a decent appetiser along with the chicken ribs. Overall, a great experience, the only downside would be that the food took quiet a while to arrive and when we arrived on Saturday for the bar, we stood around for 5 minutes and had to get the menu ourselves."
9,"The place is so nice and open. Very attentive service. Very fast response with the communications. I could contact them through Facebook messenger and the response was pretty quickThe food were pretty good .. and a bit small portionsIf you like a sweet coffee, you have to order the cafe Saigon coffee cocktail"
