restaurant_ids,name,cuisine,negative_count,neutral_count,positive_count,total,positive_percentage,negative_percentage,neutral_percentage
1,Domino's Pizza Flinders St,Fast Food,2,2,10,14,71,14,14
2,City Kebabs,Fast Food,7,2,7,16,44,44,12
3,Royale PizzaMelbourne,Pizza,10,1,15,26,58,38,4
4,Cherry and Twigs,Café,2,1,20,23,87,9,4
5,Restaurant 1903,Modern Australian,1,3,22,26,85,4,12
6,Tokyo Maki - Melbourne,Japanese,2,0,21,23,91,9,0
7,The Hardware Société,Café,1,0,18,19,95,5,0
8,Delhi Streets,Indian,2,0,20,22,91,9,0
9,Gaylord Indian Restaurant,Indian,3,0,22,25,88,12,0
10,Nando's Northbank,Fast Food,0,1,19,20,95,0,5
11,Sirocco Restaurant & Bar,Modern Australian,2,2,6,10,60,20,20
12,CBD Kebabs,Kebabs,6,2,13,21,62,29,10
13,State of Grace,Bar,3,2,21,26,81,12,8
14,Mr Huang Jin,Taiwan,4,1,13,18,72,22,6
15,Mykonos,Kebabs,8,2,16,26,62,31,8
16,Food Hall,Asian,3,0,21,24,88,12,0
17,K-Rib by Kass Kass,Korean,0,1,23,24,96,0,4
18,Viva Kebabs and grill,Kebabs,12,3,8,23,35,52,13
19,Flinders kebab,Kebabs,0,1,24,25,96,0,4
20,Rockpool Bar & Grill,Modern Australian,4,1,15,20,75,20,5
21,Nobu,Japanese,6,1,16,23,70,26,4
22,Bistro Guillaume,French,6,0,17,23,74,26,0
23,Conservatory,Buffet,7,2,13,22,59,32,9
24,Koko,Japanese,2,3,19,24,79,8,12
25,Spice Temple,Chinese,9,2,15,26,58,35,8
26,Rosetta Ristorante,Italian,7,0,13,20,65,35,0
27,Silks,Chinese,4,0,20,24,83,17,0
28,Petanque Social,Bar,14,3,9,26,35,54,12
29,Ging Thai,Thai,4,1,19,24,79,17,4
30,The Meat & Wine Co Southbank,Steakhouse,2,0,23,25,92,8,0
31,The Waiting Room,Bar,3,0,21,24,88,12,0
32,Left Bank Melbourne Restaurant & Cocktail Bar,Bar,0,1,24,25,96,0,4
33,Subway,Fast Food,14,3,8,25,32,56,12
34,Criniti's Southbank,Italian,5,3,18,26,69,19,12
35,The Breslin Bar & Grill,Steakhouse,3,2,17,22,77,14,9
36,Soho Restaurant and Bar,Italian,1,1,17,19,89,5,5
37,Sushi n Poke,Japanese,12,0,11,23,48,52,0
38,VPR Asian Street Food,Vietnamese,0,1,19,20,95,0,5
39,Five Guys,Fast Food,1,1,17,19,89,5,5
40,Hopscotch Melbourne,Bar,2,2,19,23,83,9,9
41,Ludlow Bar & Dining Room,Bar,4,5,14,23,61,17,22
42,Belgian Beer Café,Bar,1,0,17,18,94,6,0
43,Old Man Pho Southbank - Vietnamese Restaurant,Vietnamese,2,1,13,16,81,12,6
44,Infinite Wasabi,Japanese,1,0,22,23,96,4,0
45,Thailander Riverside Quay,Thai,3,2,12,17,71,18,12
46,Yarra Botanica,Bar,4,1,15,20,75,20,5
47,Melba Restaurant,Buffet,3,0,19,22,86,14,0
48,Ponyfish Island,Bar,3,1,19,23,83,13,4
49,Eureka 89 Dining & Events - Fine Dining Restaurant Melbourne,Fine Dining,0,1,27,28,96,0,4
50,Aria Bar & Lounge,Café,8,0,20,28,71,29,0
51,Spirit Of Melbourne Cruising Restaurant,Modern Australian,1,1,18,20,90,5,5
52,DOC Pizza & Mozzarella Bar - Southbank,Pizza,6,3,12,21,57,29,14
53,Dagwood Deli,Café,1,0,14,15,93,7,0
54,Asado,Argentinian,3,0,21,24,88,12,0
55,La Camera Southgate,Italian,3,0,17,20,85,15,0
56,BearBrass,Bar,2,0,20,22,91,9,0
57,PJ O'Brien's Irish Pub,Bar,2,4,12,18,67,11,22
58,Red Emperor (Southgate) Chinese Restaurant,Chinese,9,1,14,24,58,38,4
59,Tutto Bene,Italian,15,2,11,28,39,54,7
60,Miyako Japanese Cuisine & Teppanyaki,Japanese,1,1,18,20,90,5,5
61,The Deck Southbank,Modern Australian,1,2,16,19,84,5,11
62,Roll'd Southgate,Vietnamese,14,5,8,27,30,52,19
63,Bluetrain,Modern Australian,2,3,19,24,79,8,12
64,Waterfront Southgate,Modern Australian,1,0,20,21,95,5,0
65,Saké Restaurant & Bar,Japanese,5,1,20,26,77,19,4
66,Grill'd Southgate,Burgers,8,0,14,22,64,36,0
67,Teatro Restaurant,Italian,7,0,18,25,72,28,0
68,Stockroom567,Modern Australian,3,0,18,21,86,14,0
69,Miss Siam Thai Cuisine,Thai,3,3,16,22,73,14,14
70,Grill'd Southern Cross,Burgers,9,2,11,22,50,41,9
71,Sushi Izu (inside Woolworths),Japanese,1,2,7,10,70,10,20
72,Vue de monde,Fine Dining,1,1,22,24,92,4,4
73,Rare Steakhouse Downtown,Steakhouse,1,1,19,21,90,5,5
74,Alluvial Restaurant,Modern Australian,2,1,14,17,82,12,6
75,Queens Kebab,Kebabs,3,1,18,22,82,14,5
76,Salted Egg,Chinese,0,0,19,19,100,0,0
77,KoBab,Korean,0,3,17,20,85,0,15
78,Greta,Italian,2,1,15,18,83,11,6
79,Ronnie's,Burgers,11,0,12,23,52,48,0
80,Warabi,Japanese,6,0,15,21,71,29,0
81,Lollo,Modern Australian,3,3,14,20,70,15,15
82,Simpsons Burgers,Burgers,3,1,19,23,83,13,4
83,Sushi Lian,Japanese,6,2,19,27,70,22,7
84,Yarra Falls,Modern Australian,0,1,25,26,96,0,4
85,Maha Restaurant,Middle Eastern,1,2,21,24,88,4,8
86,Bond Street Kitchen,Modern Australian,1,1,16,18,89,6,6
87,Pure South Kitchen,Modern Australian,10,2,11,23,48,43,9
88,Arbory Bar & Eatery,Modern Australian,3,1,16,20,80,15,5
89,Hophaus Bar,Bar,8,0,15,23,65,35,0
90,Clocks at Flinders,Bar,1,3,17,21,81,5,14
91,Riverland Bar,Bar,0,2,26,28,93,0,7
92,Taxi Kitchen,Modern Australian,2,0,19,21,90,10,0
93,Pilgrim Bar,Modern Australian,3,0,27,30,90,10,0
94,Victoria by Farmer's Daughters,Modern Australian,4,0,22,26,85,15,0
95,Mama's Canteen,Middle Eastern,2,0,19,21,90,10,0
96,The Bottom End,Bar,3,0,19,22,86,14,0
97,Spicy Korea,Korean,1,1,18,20,90,5,5
98,Saint & Rogue,Bar,0,1,19,20,95,0,5
99,Brim CC,Japanese,0,2,19,21,90,0,10
100,Rice at Collins 595,Asian,1,2,18,21,86,5,10
101,Palm Sugar Thai Cafe,Thai,2,1,20,23,87,9,4
102,Pokéd,Hawaiian,5,2,13,20,65,25,10
103,SpudBAR,Salads,5,1,10,16,62,31,6
104,KFC Southern Cross Station,Fast Food,7,2,7,16,44,44,12
