restaurant_id,name,place_id,price_level,lat,long,types,address,cuisine
1,Domino's Pizza Flinders St,ChIJzUeRGVJd1moR8OAx5QG2svk,1,-37.8208688,144.9563465,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Tenancy 2C/555 Flinders Street, Melbourne",Fast Food
2,City Kebabs,ChIJJaylGVJd1moRjyu89QjaLrg,1,-37.8205272,144.9561929,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","3/546 Flinders Street, Melbourne",Fast Food
3,Royale PizzaMelbourne,ChIJT5at6FFd1moRl7tSBihHz1I,0,-37.8196912,144.954892,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","44/56 Spencer Street, Melbourne",Pizza
4,Cherry and Twigs,ChIJJbxbHVJd1moRlmxHO37SS70,2,-37.8200371,144.9557317,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","Shop 1B/555 Flinders Lane, Melbourne",Café
5,Restaurant 1903,ChIJlVbz5VFd1moRBbVdFgoTEVI,1,-37.8197325,144.9547667,"['restaurant', 'food', 'point_of_interest', 'establishment']","44 Spencer Street, Melbourne",Modern Australian
6,Tokyo Maki - Melbourne,ChIJ0Ux_FlJd1moRZzHQVlx6dEs,1,-37.8207967,144.956706,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","547 Flinders Street, Melbourne",Japanese
7,The Hardware Société,ChIJGTbCqEpd1moRvbLaxevnLtw,2,-37.8200386,144.9566619,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","10 Katherine Place, Melbourne",Café
8,Delhi Streets,ChIJW6n2CFJd1moRgzF7MAe-pSw,1,-37.819834,144.9564871,"['restaurant', 'food', 'point_of_interest', 'establishment']","22 Katherine Place, Melbourne",Indian
9,Gaylord Indian Restaurant,ChIJ_XkoPMpC1moRe4ufdMTGZc0,2,-37.820631,144.9545136,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","33 Spencer Street, Docklands",Indian
10,Nando's Northbank,ChIJSf9AFlJd1moRkvJT4i0d0UM,2,-37.820962,144.9564753,"['restaurant', 'food', 'point_of_interest', 'establishment']","Central Tower, Northbank, 551 Flinders Street, Melbourne",Fast Food
